Top,Assuntos Relacionadas,Values,Tipo,Termo Buscado,Data de Extração,Periodo
14,Monitor de vídeo,1,Assunto,COMPUTADOR,24/08/2018 13:21,all
15,Vírus,1,Tipo de agente infeccioso,COMPUTADOR,24/08/2018 13:21,all
16,Computar,1,Campo de estudo,COMPUTADOR,24/08/2018 13:21,all
17,Unidade de disco rígido,1,Periférico do computador,COMPUTADOR,24/08/2018 13:21,all
18,Wi-Fi,1,Assunto,COMPUTADOR,24/08/2018 13:21,all
19,Positivo Tecnologia,1,Empresa,COMPUTADOR,24/08/2018 13:21,all
20,Intel,1,Empresa,COMPUTADOR,24/08/2018 13:21,all
21,Gamer,1,Assunto,COMPUTADOR,24/08/2018 13:21,all
22,USB flash drive,1,Assunto,COMPUTADOR,24/08/2018 13:21,all
23,Windows 8,1,Sistema operacional,COMPUTADOR,24/08/2018 13:21,all
24,Intel Core i5,1,Assunto,COMPUTADOR,24/08/2018 13:21,all
25,Intel Core i3,1,Processador do computador,COMPUTADOR,24/08/2018 13:21,all
1,Dell,100,Empresa,DELL,24/08/2018 13:21,all
2,Laptop,22,Assunto,DELL,24/08/2018 13:21,all
3,Dell Inspiron,11,Assunto,DELL,24/08/2018 13:21,all
4,Driver de dispositivo,8,Assunto,DELL,24/08/2018 13:21,all
5,Computador,4,Assunto,DELL,24/08/2018 13:21,all
6,Intel Core i5,3,Assunto,DELL,24/08/2018 13:21,all
7,Hewlett-Packard,3,Companhia,DELL,24/08/2018 13:21,all
8,Dell Vostro,3,Assunto,DELL,24/08/2018 13:21,all
9,Intel,3,Empresa,DELL,24/08/2018 13:21,all
10,Intel Core i7,2,Processador do computador,DELL,24/08/2018 13:21,all
11,Bateria,2,Eletricidade,DELL,24/08/2018 13:21,all
12,Windows 7,2,Sistema operacional,DELL,24/08/2018 13:21,all
13,Teclado,2,Periférico do computador,DELL,24/08/2018 13:21,all
14,Intel Core i3,2,Processador do computador,DELL,24/08/2018 13:21,all
15,Acer Inc.,2,Empresa,DELL,24/08/2018 13:21,all
16,Dell XPS,2,Computador,DELL,24/08/2018 13:21,all
17,Unidade de disco rígido,2,Periférico do computador,DELL,24/08/2018 13:21,all
18,Monitor de vídeo,1,Assunto,DELL,24/08/2018 13:21,all
19,OptiPlex,1,Assunto,DELL,24/08/2018 13:21,all
20,Lenovo,1,Empresa,DELL,24/08/2018 13:21,all
21,Ultrabook,1,Assunto,DELL,24/08/2018 13:21,all
22,ASUS,1,Empresa,DELL,24/08/2018 13:21,all
23,Tablet,1,Assunto,DELL,24/08/2018 13:21,all
24,Unidade central de processamento,1,Assunto,DELL,24/08/2018 13:21,all
25,Placa de vídeo,1,Classe do periférico do computador,DELL,24/08/2018 13:21,all
1,Sony,100,Fabricante do computador,SONY,24/08/2018 13:21,all
2,Xperia,19,Linha do produto,SONY,24/08/2018 13:21,all
3,Sony Mobile Communications,14,Empresa,SONY,24/08/2018 13:21,all
4,Telefone celular,10,Assunto,SONY,24/08/2018 13:21,all
5,Vegas Pro,8,Software,SONY,24/08/2018 13:21,all
6,VAIO,7,Empresa,SONY,24/08/2018 13:21,all
7,Câmera,6,Assunto,SONY,24/08/2018 13:21,all
8,Televisor,6,Assunto,SONY,24/08/2018 13:21,all
9,Dados digitais,3,Assunto,SONY,24/08/2018 13:21,all
10,Laptop,3,Assunto,SONY,24/08/2018 13:21,all
11,Sony Xperia Z3,3,Assunto,SONY,24/08/2018 13:21,all
12,Câmera digital,2,Assunto,SONY,24/08/2018 13:21,all
13,BRAVIA,2,Assunto,SONY,24/08/2018 13:21,all
14,LG Corporation,2,Corporação,SONY,24/08/2018 13:21,all
15,Smartphone,2,Plataforma de computação,SONY,24/08/2018 13:21,all
16,Cyber-shot,2,Linha do produto,SONY,24/08/2018 13:21,all
17,Diodo emissor de luz,2,Assunto,SONY,24/08/2018 13:21,all
18,Sony Xperia Z2,2,Assunto,SONY,24/08/2018 13:21,all
19,Sony Xperia Z1,2,Assunto,SONY,24/08/2018 13:21,all
20,Sony Xperia M2,1,Assunto,SONY,24/08/2018 13:21,all
21,Sony Xperia C,1,Assunto,SONY,24/08/2018 13:21,all
22,Sony Xperia M4 Aqua,1,Assunto,SONY,24/08/2018 13:21,all
23,Sony Ericsson Xperia X10,1,Telefone celular,SONY,24/08/2018 13:21,all
24,Televisor conectado,1,Assunto,SONY,24/08/2018 13:21,all
25,Circuito integrado,1,Assunto,SONY,24/08/2018 13:21,all
1,Amazon.com,100,Empresa,AMAZON,24/08/2018 13:21,all
2,Estados Unidos,6,País na América do Norte,AMAZON,24/08/2018 13:21,all
3,eBay,3,Empresa,AMAZON,24/08/2018 13:21,all
4,Dólar dos Estados Unidos,2,Moeda,AMAZON,24/08/2018 13:21,all
5,Kindle,2,Linha do produto,AMAZON,24/08/2018 13:21,all
6,Amazon Prime,2,Assunto,AMAZON,24/08/2018 13:21,all
7,Livraria Saraiva,2,Empresa,AMAZON,24/08/2018 13:21,all
8,Reino Unido,1,País na Europa,AMAZON,24/08/2018 13:21,all
9,Amazon Web Services,1,Assunto,AMAZON,24/08/2018 13:21,all
10,Best Buy,1,Empresa,AMAZON,24/08/2018 13:21,all
11,Computador pessoal,1,Assunto,AMAZON,24/08/2018 13:21,all
12,Amazon Prime Video,1,Assunto,AMAZON,24/08/2018 13:21,all
13,Livro digital,1,Encadernação do livro,AMAZON,24/08/2018 13:21,all
14,Amazon Appstore,0,Assunto,AMAZON,24/08/2018 13:21,all
15,Cupom de desconto,0,Assunto,AMAZON,24/08/2018 13:21,all
1,Lojas Americanas,100,Empresa,LOJAS AMERICANAS,24/08/2018 13:21,all
2,Casas Bahia,8,Empresa,LOJAS AMERICANAS,24/08/2018 13:21,all
3,Magazine Luiza,5,Companhia,LOJAS AMERICANAS,24/08/2018 13:21,all
4,Pontofrio,4,Empresa,LOJAS AMERICANAS,24/08/2018 13:21,all
5,Extra,4,Rede varejista,LOJAS AMERICANAS,24/08/2018 13:21,all
6,Ricardo Eletro,3,Empresa,LOJAS AMERICANAS,24/08/2018 13:21,all
7,Submarino,2,Tipo de embarcação,LOJAS AMERICANAS,24/08/2018 13:21,all
8,Walmart,2,Companhia,LOJAS AMERICANAS,24/08/2018 13:21,all
9,Shoptime,2,Empresa,LOJAS AMERICANAS,24/08/2018 13:21,all
10,Loja,1,Assunto,LOJAS AMERICANAS,24/08/2018 13:21,all
11,Lojas Marisa,1,Assunto,LOJAS AMERICANAS,24/08/2018 13:21,all
12,Lojas Colombo,1,Assunto,LOJAS AMERICANAS,24/08/2018 13:21,all
13,Casa & Video,1,Empresa,LOJAS AMERICANAS,24/08/2018 13:21,all
14,Carrefour,1,Empresa,LOJAS AMERICANAS,24/08/2018 13:21,all
15,Brinquedo,1,Assunto,LOJAS AMERICANAS,24/08/2018 13:21,all
16,Lojas CEM,1,Empresa,LOJAS AMERICANAS,24/08/2018 13:21,all
17,Oferta,1,Assunto,LOJAS AMERICANAS,24/08/2018 13:21,all
18,Havan,0,Empresa,LOJAS AMERICANAS,24/08/2018 13:21,all
19,Ovo de Páscoa,0,Assunto,LOJAS AMERICANAS,24/08/2018 13:21,all
